Date,Open,High,Low,Close,Adj Close
1/1/1990,3469.280029,3469.280029,3112.98999,3163.300049,3163.300049
2/1/1990,3166.399902,3230.360107,3138.679932,3201.199951,3201.199951
3/1/1990,3210.97998,3308.01001,3210.97998,3273.459961,3273.459961
4/1/1990,3258.449951,3304.429932,3161.330078,3172.330078,3172.330078
5/1/1990,3185.439941,3448.47998,3185.439941,3448.47998,3448.47998
6/1/1990,3467.969971,3503.459961,3373.679932,3424.370117,3424.370117
7/1/1990,3435.590088,3518.320068,3371.909912,3384.360107,3384.360107
8/1/1990,3377.800049,3377.800049,2911.709961,3053.600098,3053.600098
9/1/1990,3055.659912,3068.870117,2840.360107,2879.340088,2879.340088
10/1/1990,2954.75,2963.699951,2772.310059,2833.98999,2833.98999
11/1/1990,2856.919922,3015.02002,2856.919922,3015.02002,3015.02002
12/1/1990,3032.850098,3106.320068,3032.850098,3101.360107,3101.360107
1/1/1991,3069.580078,3245.350098,2938.580078,3245.350098,3245.350098
2/1/1991,3248.26001,3493.919922,3248.26001,3484.850098,3484.850098
3/1/1991,3513.939941,3583.669922,3494.050049,3583.669922,3583.669922
4/1/1991,3552.179932,3731.47998,3552.179932,3587.919922,3587.919922
5/1/1991,3628.830078,3719.300049,3529.959961,3719.300049,3719.300049
6/1/1991,3709.26001,3709.26001,3538.879883,3545.469971,3545.469971
7/1/1991,3598.679932,3705.889893,3563.189941,3705.889893,3705.889893
8/1/1991,3703,3803.350098,3621.370117,3795.040039,3795.040039
9/1/1991,3767.73999,3767.73999,3690.570068,3743.97998,3743.97998
10/1/1991,3755.689941,3807.080078,3645.580078,3807.080078,3807.080078
11/1/1991,3799.26001,3862.459961,3645.570068,3649.98999,3649.98999
12/1/1991,3699.120117,4041.100098,3669.870117,4041.100098,4041.100098
1/1/1992,4037.129883,4121.279785,4027.77002,4027.77002,4027.77002
2/1/1992,4034.830078,4115.200195,4025.080078,4071.25,4071.25
3/1/1992,4072,4075.26001,3956.850098,3961.550049,3961.550049
4/1/1992,3962.659912,4044.23999,3849.100098,4008.709961,4008.709961
5/1/1992,3992.76001,4052.169922,3976.409912,4021.51001,4021.51001
6/1/1992,4041.580078,4041.580078,3860.550049,3930.330078,3930.330078
7/1/1992,3972.449951,4083.850098,3938.919922,4083.850098,4083.850098
8/1/1992,4094.439941,4094.439941,3952.590088,3985,3985
9/1/1992,4002.080078,4099.930176,3996.949951,4024.360107,4024.360107
10/1/1992,4010.550049,4080.77002,3899.310059,4067.780029,4067.780029
11/1/1992,4099.209961,4223.410156,4057.919922,4223.410156,4223.410156
12/1/1992,4220.790039,4301.52002,4212.660156,4289.740234,4289.740234
1/1/1993,4282.839844,4358.330078,4226.689941,4336.919922,4336.919922
2/1/1993,4370.299805,4443.72998,4242.359863,4342.870117,4342.870117
3/1/1993,4337.180176,4475.25,4337.180176,4444.299805,4444.299805
4/1/1993,4430.240234,4430.240234,4249.459961,4316.120117,4316.120117
5/1/1993,4336.620117,4458.490234,4330.430176,4438.549805,4438.549805
6/1/1993,4465.859863,4471.100098,4364.27002,4449.569824,4449.569824
7/1/1993,4445.950195,4465.379883,4388.060059,4443.279785,4443.279785
8/1/1993,4461.700195,4601.549805,4451.830078,4601.549805,4601.549805
9/1/1993,4606.970215,4614.080078,4515.060059,4601.839844,4601.839844
10/1/1993,4619.870117,4701.680176,4603.120117,4672.77002,4672.77002
11/1/1993,4685.120117,4685.120117,4539.02002,4583.819824,4583.819824
12/1/1993,4598.290039,4674.029785,4584.189941,4657.830078,4657.830078
1/1/1994,4641.22998,4798.069824,4641.22998,4798.069824,4798.069824
2/1/1994,4783.660156,4804.310059,4640.839844,4678.390137,4678.390137
3/1/1994,4653.009766,4733.660156,4457.689941,4457.689941,4457.689941
4/1/1994,4383.100098,4520.799805,4383.100098,4494.720215,4494.720215
5/1/1994,4518,4532.490234,4392.310059,4525.52002,4525.52002
6/1/1994,4533.77002,4575.220215,4373.580078,4395.220215,4395.220215
7/1/1994,4413.390137,4519.799805,4408.629883,4519.799805,4519.799805
8/1/1994,4545.319824,4706.529785,4519.040039,4705.959961,4705.959961
9/1/1994,4683.080078,4707.509766,4568.97998,4605.819824,4605.819824
10/1/1994,4594.089844,4679.379883,4501.689941,4674.180176,4674.180176
11/1/1994,4640.549805,4640.549805,4444.680176,4490.580078,4490.580078
12/1/1994,4445.100098,4547.509766,4387.509766,4540.620117,4540.620117
1/1/1995,4529.049805,4648.399902,4529.049805,4631.399902,4631.399902
2/1/1995,4634.379883,4804.470215,4634.379883,4803.899902,4803.899902
3/1/1995,4789.299805,4940.439941,4749.529785,4920.419922,4920.419922
4/1/1995,4927.200195,5035.890137,4927.200195,5035.890137,5035.890137
5/1/1995,5030.899902,5192.799805,5030.899902,5192.799805,5192.799805
6/1/1995,5202.399902,5400.859863,5176.859863,5348.77002,5348.77002
7/1/1995,5367.029785,5579.859863,5367.029785,5561.859863,5561.859863
8/1/1995,5536.370117,5602.279785,5510.740234,5602.279785,5602.279785
9/1/1995,5622.310059,5843.27002,5622.310059,5806.629883,5806.629883
10/1/1995,5772.049805,5839.660156,5679.72998,5740.870117,5740.870117
11/1/1995,5762.25,5973.930176,5762.25,5969.990234,5969.990234
12/1/1995,5980.600098,6084.509766,5915.970215,6057.200195,6057.200195
1/1/1996,6096.109863,6211.819824,5850.200195,6211.819824,6211.819824
2/1/1996,6240.259766,6449.339844,6225.319824,6307.25,6307.25
3/1/1996,6328.310059,6420.899902,6226.22998,6365.890137,6365.890137
4/1/1996,6433.02002,6514.790039,6240.140137,6514.790039,6514.790039
5/1/1996,6529.399902,6758.689941,6386.52002,6677.350098,6677.350098
6/1/1996,6663.77002,6750.870117,6530.060059,6612.77002,6612.77002
7/1/1996,6666.810059,6666.810059,6099.339844,6247.029785,6247.029785
8/1/1996,6341.680176,6551.819824,6341.680176,6434.02002,6434.02002
9/1/1996,6444.680176,6765.649902,6394.660156,6765.649902,6765.649902
10/1/1996,6773.180176,6943.799805,6773.180176,6851.330078,6851.330078
11/1/1996,6841.790039,7292.160156,6841.790039,7292.160156,7292.160156
12/1/1996,7295.569824,7295.569824,6998.620117,7198.290039,7198.290039
1/1/1997,7147.799805,7594.850098,7147.799805,7575.790039,7575.790039
2/1/1997,7586.759766,7792.569824,7498.359863,7559.419922,7559.419922
3/1/1997,7591.52002,7757.040039,7213.529785,7213.529785,7213.529785
4/1/1997,7222.419922,7519.290039,7059.970215,7519.290039,7519.290039
5/1/1997,7512.399902,8038.5,7512.399902,8038.5,8038.5
6/1/1997,8044.459961,8484.509766,7993.990234,8396.870117,8396.870117
7/1/1997,8441.429688,9031.429688,8441.429688,9031.429688,9031.429688
8/1/1997,8977.580078,9110.419922,8631.360352,8679.980469,8679.980469
9/1/1997,8901.719727,9222.330078,8839.30957,9180.209961,9180.209961
10/1/1997,9242.80957,9486.69043,8537.049805,8865.25,8865.25
11/1/1997,9073.719727,9220.05957,8749.820313,9142.429688,9142.429688
12/1/1997,9307.19043,9411.330078,8946.639648,9298.19043,9298.19043
1/1/1998,9327.700195,9372.490234,8875.469727,9340.799805,9340.799805
2/1/1998,9524.339844,10006.44043,9524.339844,10006.44043,10006.44043
3/1/1998,10000.63965,10507.20996,9875.019531,10494.71973,10494.71973
4/1/1998,10562.79004,10782.75,10345.54981,10609.61035,10609.61035
5/1/1998,10682.49023,10692.74023,10304.05957,10314.17969,10314.17969
6/1/1998,10279.90039,10681.54981,10105.44043,10663.61035,10663.61035
7/1/1998,10786.80957,11106.09961,10420.25977,10420.25977,10420.25977
8/1/1998,10334.17969,10334.17969,8785.709961,8785.709961,8785.709961
9/1/1998,9090.009766,9767.230469,8931.150391,9346.80957,9346.80957
10/1/1998,9053.160156,10032.19043,8620.799805,10032.19043,10032.19043
11/1/1998,10185.26953,10900.38965,10173.33984,10650.2002,10650.2002
12/1/1998,10731.48047,11317.58984,10423.37012,11317.58984,11317.58984
1/1/1999,11307.2002,11724.83008,11187.83984,11724.83008,11724.83008
2/1/1999,11689.86035,11689.86035,11146.58984,11286.08008,11286.08008
3/1/1999,11277.58008,11932.08984,11212.49023,11707.66992,11707.66992
4/1/1999,11768.84961,12464.11035,11768.84961,12259.36035,12259.36035
5/1/1999,12386.62988,12549.04981,11799.7002,11976.75,11976.75
6/1/1999,11902.54981,12583.59961,11829.37988,12583.59961,12583.59961
7/1/1999,12643.50977,12976.99023,12189.83984,12189.83984,12189.83984
8/1/1999,12143.25977,12540.82031,11663.98047,12042.23047,12042.23047
9/1/1999,12129.03027,12350.55957,11607.90039,11713.79981,11713.79981
10/1/1999,11703.29981,12449.40039,11446.59961,12449.40039,12449.40039
11/1/1999,12403.2002,13148.29981,12369.40039,12851.92969,12851.92969
12/1/1999,12923.4502,13812.66992,12923.4502,13812.66992,13812.66992
